epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.2968,1.40482,3.16131,1.50191,0,0,0,0,0,0,0,0.000654088,0.000654088,0.000654088
2,37.215,1.59133,2.75407,1.67799,0,0,0,0,0,0,0,0.00128807,0.00128807,0.00128807
3,55.3744,1.77073,2.70577,1.84397,0,0,0,0,0,0,0,0.00188904,0.00188904,0.00188904
4,76.62,1.83597,2.57403,1.89455,0,0,0,0,0,0,0,0.0018515,0.0018515,0.0018515
5,94.8199,1.77617,2.45374,1.83545,0,0,0,0,0,0,0,0.001802,0.001802,0.001802
6,112.969,1.68174,2.30126,1.76487,0,0,0,0,0,0,0,0.0017525,0.0017525,0.0017525
7,131.043,1.64604,2.16687,1.73833,0,0,0,0,0,0,0,0.001703,0.001703,0.001703
8,149.101,1.61412,2.12571,1.73695,0,0,0,0,0,0,0,0.0016535,0.0016535,0.0016535
9,167.164,1.52482,1.9567,1.63863,0,0,0,0,0,0,0,0.001604,0.001604,0.001604
10,186.021,1.48726,1.88031,1.60485,0,0,0,0,0,0,0,0.0015545,0.0015545,0.0015545
11,204.076,1.45602,1.80831,1.59622,0,0,0,0,0,0,0,0.001505,0.001505,0.001505
12,222.813,1.40249,1.71982,1.5475,0,0,0,0,0,0,0,0.0014555,0.0014555,0.0014555
13,241.738,1.36744,1.64756,1.52698,0,0,0,0,0,0,0,0.001406,0.001406,0.001406
14,259.84,1.33907,1.60656,1.50815,0,0,0,0,0,0,0,0.0013565,0.0013565,0.0013565
15,278.182,1.31367,1.56852,1.48492,0,0,0,0,0,0,0,0.001307,0.001307,0.001307
16,297.267,1.25389,1.4727,1.43395,0,0,0,0,0,0,0,0.0012575,0.0012575,0.0012575
17,315.49,1.22674,1.42052,1.40924,0,0,0,0,0,0,0,0.001208,0.001208,0.001208
18,333.614,1.21557,1.38788,1.40536,0,0,0,0,0,0,0,0.0011585,0.0011585,0.0011585
19,351.638,1.18952,1.34573,1.39761,0,0,0,0,0,0,0,0.001109,0.001109,0.001109
20,369.631,1.13944,1.27157,1.35378,0,0,0,0,0,0,0,0.0010595,0.0010595,0.0010595
21,388.322,1.14499,1.29245,1.36344,0,0,0,0,0,0,0,0.00101,0.00101,0.00101
22,406.339,1.10801,1.20789,1.33626,0,0,0,0,0,0,0,0.0009605,0.0009605,0.0009605
